delx,dely,eta,lt,theta,k,l1,l2,p,kde.bw,kde.n,kde.lags,kde.win,pei,pai
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,1e-04,0.33,500,all,1,25,0.0517241379310345,26.5376506990173
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,1e-04,0.5,500,all,1,25,0.0603448275862069,30.9605924821869
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,1e-04,0.66,500,all,1,25,0.0431034482758621,22.1147089158478
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,1e-04,0.75,500,all,1,25,0.0517241379310345,26.5376506990173
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,1e-04,1,500,all,1,25,0.0344827586206897,17.6917671326782
250,600,1,0.5,0,50,1e-06,1e-04,0.5,250,all,6,3,0.0384615384615385,8.78318589878953
250,600,1,0.5,0,50,1e-04,1e-04,0.5,250,all,6,3,0.0192307692307692,4.39159294939476
250,600,1,0.5,0,50,0.001,1e-04,0.5,250,all,6,3,0.0384615384615385,8.78318589878953
250,600,1,0.5,0,50,0.005,1e-04,0.5,250,all,6,3,0.0384615384615385,8.78318589878953
250,600,1,0.5,0,50,1e-05,1e-06,0.5,250,all,6,3,0.0192307692307692,4.39159294939476
250,600,1,0.5,0,50,1e-05,5e-06,0.5,250,all,6,3,0.0192307692307692,4.39159294939476
250,600,1,0.5,0,50,1e-05,1e-05,0.5,250,all,6,3,0.0192307692307692,4.39159294939476
250,600,1,0.5,0,50,1e-05,5e-05,0.5,250,all,6,3,0.0576923076923077,13.1747788481843
250,600,1,0.5,0,50,1e-05,5e-04,0.5,250,all,6,3,0.0384615384615385,8.78318589878953
250,600,1,0.5,0,50,1e-05,1e-04,0.25,250,all,6,3,0.0769230769230769,17.5663717975791
250,600,1,0.5,0,50,1e-05,1e-04,0.33,250,all,6,3,0.0576923076923077,13.1747788481843
250,600,1,0.5,0,50,1e-05,1e-04,0.5,250,all,6,3,0.0384615384615385,8.78318589878953
250,600,1,0.5,0,50,1e-05,1e-04,0.66,250,all,6,3,0.0384615384615385,8.78318589878953
250,600,1,0.5,0,50,1e-05,1e-04,0.75,250,all,6,3,0.0384615384615385,8.78318589878953
250,600,1,0.5,0,50,1e-05,1e-04,1,250,all,6,3,0.0384615384615385,8.78318589878953
