train_set,delx,dely,alpha,eta,lt,theta,k,l1,l2,kde.bw,kde.lags,kde.win,pei,pai
train_13,125,125,0,0.5,7,0,50,1e-04,0.001,250,3,10,0.0214669051878354,7.14630157293743
train_13,125,125,0,0.5,7,0,50,5e-04,0,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,5e-04,1e-05,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,5e-04,5e-05,250,3,10,0.0178890876565295,5.95525131078119
train_13,125,125,0,0.5,7,0,50,5e-04,1e-04,250,3,10,0.0161001788908766,5.35972617970307
train_13,125,125,0,0.5,7,0,50,5e-04,5e-04,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,5e-04,0.001,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,0.001,0,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,0.001,1e-05,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,0.001,5e-05,250,3,10,0.0178890876565295,5.95525131078119
train_13,125,125,0,0.5,7,0,50,0.001,1e-04,250,3,10,0.0161001788908766,5.35972617970307
train_13,125,125,0,0.5,7,0,50,0.001,5e-04,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0,0.5,7,0,50,0.001,0.001,250,3,10,0.0268336314847943,8.93287696617179
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,0,250,3,10,0.19504132231405,63.7151492167271
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,1e-05,250,3,10,0.0859504132231405,28.0778623666933
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,5e-05,250,3,10,0.0247933884297521,8.09938337500768
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,1e-04,250,3,10,0.0165289256198347,5.39958891667179
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,5e-04,250,3,10,0.0165289256198347,5.39958891667179
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,0.001,250,3,10,0.0148760330578512,4.85963002500461
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-05,0,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-05,1e-05,250,3,10,0.0198347107438017,6.47950670000615
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-05,5e-05,250,3,10,0.0247933884297521,8.09938337500768
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-05,1e-04,250,3,10,0.0165289256198347,5.39958891667179
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-05,5e-04,250,3,10,0.0214876033057851,7.01946559167333
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-05,0.001,250,3,10,0.0181818181818182,5.93954780833897
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-05,0,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-05,1e-05,250,3,10,0.0198347107438017,6.47950670000615
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-05,5e-05,250,3,10,0.0247933884297521,8.09938337500768
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-05,1e-04,250,3,10,0.0165289256198347,5.39958891667179
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-05,5e-04,250,3,10,0.0198347107438017,6.47950670000615
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-05,0.001,250,3,10,0.0148760330578512,4.85963002500461
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-04,0,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-04,1e-05,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-04,5e-05,250,3,10,0.0247933884297521,8.09938337500768
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-04,1e-04,250,3,10,0.0148760330578512,4.85963002500461
