delx,dely,alpha,kde.bw,kde.lags,horizon,crime.type, pei,pai
425,250,0,1000,1,1w,street,0.362,50.64
425,250,0,1000,1,1w,burglary,0,0
425,250,0,1000,1,1w,vehicle,0.021,12.494
425,250,0,1000,1,2w,all,0.536,30.998
425,250,0,1000,1,2w,street,0.468,48.339
425,250,0,1000,1,2w,burglary,0,0
425,250,0,1000,1,2w,vehicle,0.029,12.765
425,250,0,1000,1,1m,all,0.544,30.328
425,250,0,1000,1,1m,street,0.536,46.578
425,250,0,1000,1,1m,burglary,0,0
425,250,0,1000,1,1m,vehicle,0.042,8.678
425,250,0,1000,1,2m,all,0.555,29.948
425,250,0,1000,1,2m,street,0.621,48.97
425,250,0,1000,1,2m,burglary,0,0
425,250,0,1000,1,2m,vehicle,0.048,6.749
425,250,0,1000,1,3m,all,0.573,30.298
425,250,0,1000,1,3m,street,0.631,47.724
425,250,0,1000,1,3m,burglary,0.014,3.336
425,250,0,1000,1,3m,vehicle,0.099,11.514
425,425,0,500,1,1w,all,0.735,36.06
425,425,0,500,1,1w,street,0.49,50.411
425,425,0,500,1,1w,burglary,0.273,159.422
425,425,0,500,1,1w,vehicle,0.077,37.312
425,425,0,500,1,2w,all,0.753,34.269
425,425,0,500,1,2w,street,0.622,48.667
425,425,0,500,1,2w,burglary,0.107,62.63
425,425,0,500,1,2w,vehicle,0.122,31.769
425,425,0,500,1,1m,all,0.787,33.799
425,425,0,500,1,1m,street,0.727,50.289
425,425,0,500,1,1m,burglary,0.07,24.699
425,425,0,500,1,1m,vehicle,0.156,20.157
425,425,0,500,1,2m,all,0.797,33.345
425,425,0,500,1,2m,street,0.767,49.392
425,425,0,500,1,2m,burglary,0.065,12.99
425,425,0,500,1,2m,vehicle,0.121,11.758
425,425,0,500,1,3m,all,0.81,33.289
425,425,0,500,1,3m,street,0.785,48.758
425,425,0,500,1,3m,burglary,0.087,13.285
425,425,0,500,1,3m,vehicle,0.171,15.282
425,425,0,800,1,1w,all,0.615,30.179
425,425,0,800,1,1w,street,0.438,45.048
425,425,0,800,1,1w,burglary,0.182,106.282
425,425,0,800,1,1w,vehicle,0.077,37.312
425,425,0,800,1,2w,all,0.639,29.112
425,425,0,800,1,2w,street,0.58,45.386
425,425,0,800,1,2w,burglary,0.071,41.753
425,425,0,800,1,2w,vehicle,0.122,31.769
425,425,0,800,1,1m,all,0.681,29.219
425,425,0,800,1,1m,street,0.657,45.444
425,425,0,800,1,1m,burglary,0.047,16.466
425,425,0,800,1,1m,vehicle,0.133,17.277
425,425,0,800,1,2m,all,0.712,29.796
425,425,0,800,1,2m,street,0.725,46.708
425,425,0,800,1,2m,burglary,0.043,8.66
425,425,0,800,1,2m,vehicle,0.103,10.078
425,425,0,800,1,3m,all,0.734,30.199
425,425,0,800,1,3m,street,0.741,46.023
425,425,0,800,1,3m,burglary,0.065,9.964
425,425,0,800,1,3m,vehicle,0.143,12.735
425,425,0,1000,1,1w,all,0.603,29.56
425,425,0,1000,1,1w,street,0.479,49.338
425,425,0,1000,1,1w,burglary,0,0
425,425,0,1000,1,1w,vehicle,0.026,12.437
425,425,0,1000,1,2w,all,0.631,28.716
425,425,0,1000,1,2w,street,0.594,46.48
425,425,0,1000,1,2w,burglary,0,0
425,425,0,1000,1,2w,vehicle,0.049,12.708
425,425,0,1000,1,1m,all,0.669,28.733
425,425,0,1000,1,1m,street,0.64,44.291
425,425,0,1000,1,1m,burglary,0,0
425,425,0,1000,1,1m,vehicle,0.067,8.639
425,425,0,1000,1,2m,all,0.699,29.267
425,425,0,1000,1,2m,street,0.732,47.138
425,425,0,1000,1,2m,burglary,0,0
425,425,0,1000,1,2m,vehicle,0.069,6.719
425,425,0,1000,1,3m,all,0.723,29.734
425,425,0,1000,1,3m,street,0.738,45.867
425,425,0,1000,1,3m,burglary,0.022,3.321
425,425,0,1000,1,3m,vehicle,0.114,10.188
425,600,0,500,1,1w,all,0.804,34.967
425,600,0,500,1,1w,street,0.566,49.735
425,600,0,500,1,1w,burglary,0.091,52.429
425,600,0,500,1,1w,vehicle,0.107,36.812
425,600,0,500,1,2w,all,0.833,33.966
425,600,0,500,1,2w,street,0.695,49.094
425,600,0,500,1,2w,burglary,0.036,20.597
425,600,0,500,1,2w,vehicle,0.167,31.343
425,600,0,500,1,1m,all,0.862,33.586
425,600,0,500,1,1m,street,0.795,49.388
425,600,0,500,1,1m,burglary,0.062,16.246
425,600,0,500,1,1m,vehicle,0.162,17.046
425,600,0,500,1,2m,all,0.88,33.353
425,600,0,500,1,2m,street,0.865,50.956
425,600,0,500,1,2m,burglary,0.057,8.544
425,600,0,500,1,2m,vehicle,0.127,11.601
425,600,0,500,1,3m,all,0.896,33.352
425,600,0,500,1,3m,street,0.875,50.572
425,600,0,500,1,3m,burglary,0.057,6.554
425,600,0,500,1,3m,vehicle,0.169,12.565
